isbn,line_num,line_content
9788908062399,3,난중일기
9791140702008,1,전기의 기본 개념과 팅커캐드
9788931469721,5,[1부] 아이데이션 – 아이디어 떠올리기
9791194383314,1,이 책에서 차트를 보는 방법
9788937462047,1,만복사에서 저포놀이를 하다
9788937462047,2,만복사저포기
9788937462047,4,이생이 담 너머를 엿보다
9788937462047,5,이생규장전
9788937462047,7,부벽정에서 취하여 놀다
9788937462047,8,취유부벽정기
9788937462047,10,남염부주에 가다
9788937462047,11,남염부주지
9788937462047,13,용궁 잔치에 초대받다
9788937462047,14,용궁부연록
9791191600421,1,상편
9791143008893,1,AI와 초등교육
9791162543931,2,10만 부 기념 개정판을 펴내며
9788970504735,1,파이썬 인터프리터 준비
9791158400989,2,목 차
9788976448712,3,원칙에서 실행까지 윤리적 설계의 개념적 프레임워크
9788976448712,4,일반 원칙
9788976448712,5,A/IS에 있어서의 고전적 윤리
9788976448712,6,웰빙
9788976448712,7,감성 컴퓨팅
9788976448712,8,개인정보와 개인의 주체적 능력
9788976448712,9,윤리적 연구와 설계를 유도하는 방법들
9788976448712,10,지속 가능한 발전을 위한 A/IS
9788976448712,11,자율지능시스템에의 가치 부여
9788976448712,12,정책
9788976448712,13,법
9788976448712,14,윤리적 설계에 대하여
9788976447739,1,제2판 머리말/
9788976447739,3,초판 머리말/4
9788994047614,1,머리글
9791140701353,4,당신 인생을 위한 '머니볼'
9791140701353,5,인생에도 '내야 시프트'가 있다
9791140701353,6,《모두 거짓말을 한다》에서 《데이터는 어떻게 인생의 무기가 되는가》로
9791140701353,7,"신에서 느낌으로, 느낌에서 데이터로"
9788931576542,1,들어가면서: 매사에 삼가고 또 삼갈 일이다
9788989975908,1,섹션 I TCP/IP 개요와 배경 정보
9791162543009,3,2023년을 주도할 모바일 키워드
9788933707340,3,지도 서간도 이주 경로 및 주요 근거지&서울 귀환 경로
9788933707340,5,서막 서울
9788984314290,1,자서 自序
9791173479953,2,숨은 어휘 찾기-‘대변하다’는 똥을 눈다는 뜻?!
9791173479953,5,숨은 맞춤법 찾기-웬만하면 VS 왠만하면
9791173479953,8,숨은 사자성어 찾기-둘 중에서 하나를 고름
9791173479953,11,숨은 속담 찾기-잘못을 저지른 후의 태도가 중요해!
9791173479953,14,숨은 어휘 찾기-'시장하다’는 ‘시장’을 뜻하는 말?!
9791173479953,17,숨은 맞춤법 찾기-됐다 VS 됬다
9791173479953,20,숨은 사자성어 찾기-같이 있지만 다른 생각을 함
9791173479953,23,숨은 속담 찾기-힘든 일 끝에는 즐거움이!
9791173479953,25,슈뻘 국어 능력 시험
9791173479953,28,숨은 어휘 찾기-'심심하다’는 지루하고 재미가 없다는 뜻?!
9791173479953,31,숨은 맞춤법 찾기-오랜만 VS 오랫만
9791173479953,34,숨은 사자성어 찾기-은혜를 잊고 배신함
9791173479953,37,"숨은 속담 찾기-일이 잘못되기 전에, 미리 문제를 해결하자!"
9791173479953,40,숨은 어휘 찾기-'무료하다'는 공짜라는 뜻?!
9791173479953,43,숨은 맞춤법 찾기-왠지 VS 웬지
9791173479953,46,숨은 사자성어 찾기-상관없는 엉뚱한 대답
9791173479953,49,숨은 속담 찾기-잘못을 저지르면 마음이 조마조마해!
9791173479953,51,슈뻘 국어 능력 시험
9791173479953,54,숨은 어휘 찾기-'사흘’은 4일이라는 뜻?!
9791173479953,57,숨은 맞춤법 찾기-대물림 VS 되물림
9791173479953,60,숨은 사자성어 찾기-우열을 가릴 수 없는 실력
9791173479953,63,숨은 속담 찾기- 얌전한 모습에 숨겨진 약삭빠른 속마음!
